message_id,gateway_id,received_at,rx_lat,rx_lng,rssi,snr,rx_count,satellites_used,gps_lat,gps_lng
236,packetbroker,2024-12-13T12:25:56.643653848+01:00,51.92038,4.4745,-109,3.0,0,12,4.374616622924805,51.998966217041016
236,soltegro-gw1,2024-12-13T12:25:56.650986136+01:00,51.914151,4.538755,-121,-15.0,0,12,4.374616622924805,51.998966217041016
236,rabobank-utrecht,2024-12-13T12:25:56.651543556+01:00,52.0858157361473,5.10915756225586,-101,3.0,0,12,4.374616622924805,51.998966217041016
236,bh100g01-teunissenenabling-nl,2024-12-13T12:25:56.651337948+01:00,51.85950604101247,4.502578424289823,-136,-15.8,0,12,4.374616622924805,51.998966217041016
236,gtw-langeraar01,2024-12-13T12:25:56.652086410+01:00,52.1933,4.7053,-119,-5.8,0,12,4.374616622924805,51.998966217041016
236,eui-a84041ffff27626c,2024-12-13T12:25:56.652534551+01:00,52.0595,4.5019,-104,-19.2,0,12,4.374616622924805,51.998966217041016
236,berkel-iot,2024-12-13T12:25:56.656480803+01:00,51.991077604114714,4.4797343015670785,-119,-9.0,0,12,4.374616622924805,51.998966217041016
236,eui-7076ff00560602ee,2024-12-13T12:25:56.654905403+01:00,51.8118353284601,4.70365583896637,-104,-17.2,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.648452183+01:00,51.91834880563693,4.268612265586854,-117,-7.75,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.647791451+01:00,51.94119277889724,4.228599071502686,-113,-8.0,0,12,4.374616622924805,51.998966217041016
236,eui-0000024b080605f0,2024-12-13T12:25:56.645703204+01:00,52.065267,4.469516,-115,-5.5,0,12,4.374616622924805,51.998966217041016
236,technolution-gouda,2024-12-13T12:25:56.658837108+01:00,52.0181152535321,4.70844442283644,-117,-7.0,0,12,4.374616622924805,51.998966217041016
236,eui-a84041ffff1ee1e0,2024-12-13T12:25:56.646912331+01:00,51.910803313006376,4.472382100262511,-127,-14.5,0,12,4.374616622924805,51.998966217041016
236,eui-a840411ecd644150,2024-12-13T12:25:56.643556271+01:00,51.98687557914596,4.367481172084809,-112,4.0,0,12,4.374616622924805,51.998966217041016
236,dichtbyhuis,2024-12-13T12:25:56.595536870+01:00,52.094551643334505,4.412536919116975,-111,-16.5,0,12,4.374616622924805,51.998966217041016
236,eui-58a0cbfffe804e23,2024-12-13T12:25:56.618287124+01:00,52.00200284022436,4.366765022277833,-105,5.25,0,12,4.374616622924805,51.998966217041016
236,eui-aa555a0000086032,2024-12-13T12:25:56.652349107+01:00,52.0952,5.15296,-104,-6.25,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.658407781+01:00,51.98960577,4.50171107,-119,-11.8,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.678616962+01:00,51.9104010142836,4.340818776913005,-103,-14.2,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.684933341+01:00,51.9014547845856,4.22693610191345,-107,-6.8,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.686046416+01:00,51.9102795122954,4.48074765239573,-99,2.0,0,12,4.374616622924805,51.998966217041016
236,pz16bommenede,2024-12-13T12:25:56.658937134+01:00,51.73280297966728,3.970905939182342,-117,-7.75,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.695573976+01:00,51.8875851,4.4919652,-102,0.5,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.695950301+01:00,51.96196,4.02066,-102,-11.8,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.696928825+01:00,51.827354431152344,4.0372314453125,-120,-8.8,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.700451480+01:00,51.86886978149414,4.276726722717285,-110,-12.2,0,12,4.374616622924805,51.998966217041016
236,eui-0000024b080604ba,2024-12-13T12:25:56.585894194+01:00,52.05966806958092,4.469394385814668,-89,8.25,0,12,4.374616622924805,51.998966217041016
236,skynet-ttn-hogeschool-rotterdam-3015,2024-12-13T12:25:54.448036809+01:00,51.9111671447754,4.46313190460205,-123,-3.0,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.706108932+01:00,52.0345716116354,4.4939572068743825,-132,-16.75,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.708181102+01:00,51.9236793518066,4.43269634246826,-109,4.2,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.709462730+01:00,51.9180793762207,4.494808197021484,-100,5.8,0,12,4.374616622924805,51.998966217041016
236,packetbroker,2024-12-13T12:25:56.724800796+01:00,51.95325,4.55745,-97,5.8,0,12,4.374616622924805,51.998966217041016
236,vdbc-ttkg-001,2024-12-13T12:25:56.755178010+01:00,52.07834527494863,4.365260449712537,-120,-18.0,0,12,4.374616622924805,51.998966217041016
236,1dee3adcec1748cb,2024-12-13T12:25:56.749901360+01:00,52.04932055773491,4.336741257679301,-117,-17.0,0,12,4.374616622924805,51.998966217041016
236,vforge-lgw,2024-12-13T12:25:56.779774078+01:00,52.060628073287646,4.402459859848023,-115,-14.25,0,12,4.374616622924805,51.998966217041016
238,eui-a84041ffff2277f8,2024-12-13T12:27:00.563628795+01:00,51.9964618082499,4.37768161296845,-84,7.5,0,12,4.374616622924805,51.998966217041016
